title,section,clean_title,tokens
Va. Senate Democrats ask that Youngkin ceases making appointments to the Board,News,va senate democrats ask that youngkin ceases making appointments to the board,"['va', 'senate', 'democrat', 'ask', 'youngkin', 'cease', 'making', 'appointment', 'board']"
Honor Committee passes new bylaws outlining noncompliance process,News,honor committee passes new bylaws outlining noncompliance process,"['honor', 'committee', 'pass', 'new', 'bylaw', 'outlining', 'noncompliance', 'process']"
Presidential search committee talks ideal traits in new president,News,presidential search committee talks ideal traits in new president,"['presidential', 'search', 'committee', 'talk', 'ideal', 'trait', 'new', 'president']"
D.C. baseball legend Ryan Zimmerman to deliver keynote Valedictory address,News,dc baseball legend ryan zimmerman to deliver keynote valedictory address,"['dc', 'baseball', 'legend', 'ryan', 'zimmerman', 'deliver', 'keynote', 'valedictory', 'address']"
Faculty Senate discusses proposal to separate faculty position renewal from promotion,News,faculty senate discusses proposal to separate faculty position renewal from promotion,"['faculty', 'senate', 'discusses', 'proposal', 'separate', 'faculty', 'position', 'renewal', 'promotion']"
Advancement Committee reports Honor the Future campaign milestone,News,advancement committee reports honor the future campaign milestone,"['advancement', 'committee', 'report', 'honor', 'future', 'campaign', 'milestone']"
Guide Service leadership calls to preserve student voices,News,guide service leadership calls to preserve student voices,"['guide', 'service', 'leadership', 'call', 'preserve', 'student', 'voice']"
Advancement Committee reports record fundraising figures,News,advancement committee reports record fundraising figures,"['advancement', 'committee', 'report', 'record', 'fundraising', 'figure']"
"Bari Weiss, Mitch Daniels discuss state of free speech on college campuses",News,bari weiss mitch daniels discuss state of free speech on college campuses,"['bari', 'weiss', 'mitch', 'daniel', 'discus', 'state', 'free', 'speech', 'college', 'campus']"
Jennifer Wagner Davis to serve as acting University president,News,jennifer wagner davis to serve as acting university president,"['jennifer', 'wagner', 'davis', 'serve', 'acting', 'university', 'president']"
Another burglary reported on 100 block of Culbreth Road,News,another burglary reported on  block of culbreth road,"['another', 'burglary', 'reported', 'block', 'culbreth', 'road']"
Student Council launches Cavalier Career Closet,News,student council launches cavalier career closet,"['student', 'council', 'launch', 'cavalier', 'career', 'closet']"
"Student Council passes appointment bill, approves new CIOs at final meeting of semester",News,student council passes appointment bill approves new cios at final meeting of semester,"['student', 'council', 'pass', 'appointment', 'bill', 'approves', 'new', 'cio', 'final', 'meeting', 'semester']"
‘This is not what students want’: Students react to Ryan’s resignation,News,this is not what students want students react to ryans resignation,"['student', 'want', 'student', 'react', 'ryans', 'resignation']"
Committee on the College at Wise approves Family Nurse Practitioner graduate program,News,committee on the college at wise approves family nurse practitioner graduate program,"['committee', 'college', 'wise', 'approves', 'family', 'nurse', 'practitioner', 'graduate', 'program']"
Jefferson Society event discusses the state of free speech at the University,News,jefferson society event discusses the state of free speech at the university,"['jefferson', 'society', 'event', 'discusses', 'state', 'free', 'speech', 'university']"
"Audit, Compliance and Risk Committee discusses upcoming APA audit",News,audit compliance and risk committee discusses upcoming apa audit,"['audit', 'compliance', 'risk', 'committee', 'discusses', 'upcoming', 'apa', 'audit']"
New Honor Committee term begins with consideration of subcommittee initiatives,News,new honor committee term begins with consideration of subcommittee initiatives,"['new', 'honor', 'committee', 'term', 'begin', 'consideration', 'subcommittee', 'initiative']"
"Honor Committee updates online learning module, reflects on semester takeaways",News,honor committee updates online learning module reflects on semester takeaways,"['honor', 'committee', 'update', 'online', 'learning', 'module', 'reflects', 'semester', 'takeaway']"
Batten and McIntire release admissions decisions,News,batten and mcintire release admissions decisions,"['batten', 'mcintire', 'release', 'admission', 'decision']"
From the archives: Oct. 28 – Nov. 3,News,from the archives oct   nov ,"['archive', 'oct', 'nov']"
Billboard truck on Grounds calls for resignation of Board of Visitors Rector Robert Hardie,News,billboard truck on grounds calls for resignation of board of visitors rector robert hardie,"['billboard', 'truck', 'ground', 'call', 'resignation', 'board', 'visitor', 'rector', 'robert', 'hardie']"
Faculty and students share opinions on the use of generative artificial intelligence,News,faculty and students share opinions on the use of generative artificial intelligence,"['faculty', 'student', 'share', 'opinion', 'use', 'generative', 'artificial', 'intelligence']"
Shots fired incident reported on 700 block of Walker Square,News,shots fired incident reported on  block of walker square,"['shot', 'fired', 'incident', 'reported', 'block', 'walker', 'square']"
UJC transitions to new leadership,News,ujc transitions to new leadership,"['ujc', 'transition', 'new', 'leadership']"
"U.Va. hosts first Campus Sustainability Month, celebrates infrastructure",News,uva hosts first campus sustainability month celebrates infrastructure,"['uva', 'host', 'first', 'campus', 'sustainability', 'month', 'celebrates', 'infrastructure']"
Student Council unanimously approves Summer 2025 budget,News,student council unanimously approves summer  budget,"['student', 'council', 'unanimously', 'approves', 'summer', 'budget']"
"Academic and Student Life Committee discusses U.Va. Apartheid Divest Referendum, impact of Israel-Hamas war on student well-being",News,academic and student life committee discusses uva apartheid divest referendum impact of israelhamas war on student wellbeing,"['academic', 'student', 'life', 'committee', 'discusses', 'uva', 'apartheid', 'divest', 'referendum', 'impact', 'israelhamas', 'war', 'student', 'wellbeing']"
Republican legislators urge students to vote at Center for Politics event,News,republican legislators urge students to vote at center for politics event,"['republican', 'legislator', 'urge', 'student', 'vote', 'center', 'politics', 'event']"
"Summer construction on Grounds disrupts traffic, foot pathways",News,summer construction on grounds disrupts traffic foot pathways,"['summer', 'construction', 'ground', 'disrupts', 'traffic', 'foot', 'pathway']"
Students react to the results of the gubernatorial election,News,students react to the results of the gubernatorial election,"['student', 'react', 'result', 'gubernatorial', 'election']"
Ryan’s resignation marks a ‘turning point’ for the Jefferson Council,News,ryans resignation marks a turning point for the jefferson council,"['ryans', 'resignation', 'mark', 'turning', 'point', 'jefferson', 'council']"
Local organizations mobilize to register student voters ahead of presidential election,News,local organizations mobilize to register student voters ahead of presidential election,"['local', 'organization', 'mobilize', 'register', 'student', 'voter', 'ahead', 'presidential', 'election']"
"MLK III discusses ongoing advocacy work, continuing his parents’ legacy",News,mlk iii discusses ongoing advocacy work continuing his parents legacy,"['mlk', 'iii', 'discusses', 'ongoing', 'advocacy', 'work', 'continuing', 'parent', 'legacy']"
"Tim Kaine speaks on election, Virginia political landscape at University Democrats event",News,tim kaine speaks on election virginia political landscape at university democrats event,"['tim', 'kaine', 'speaks', 'election', 'virginia', 'political', 'landscape', 'university', 'democrat', 'event']"
"As Virginia’s 2025 legislative session concludes, key bills await Youngkin’s approval",News,as virginias  legislative session concludes key bills await youngkins approval,"['virginia', 'legislative', 'session', 'concludes', 'key', 'bill', 'await', 'youngkins', 'approval']"
"Who is Ken Cuccinelli, the new Board of Visitors appointee?",News,who is ken cuccinelli the new board of visitors appointee,"['ken', 'cuccinelli', 'new', 'board', 'visitor', 'appointee']"
Student Council passes resolution requesting Islamic prayer spaces on Grounds,News,student council passes resolution requesting islamic prayer spaces on grounds,"['student', 'council', 'pass', 'resolution', 'requesting', 'islamic', 'prayer', 'space', 'ground']"
"New Class of 2028 leaders promise community-building initiatives, student outreach",News,new class of  leaders promise communitybuilding initiatives student outreach,"['new', 'class', 'leader', 'promise', 'communitybuilding', 'initiative', 'student', 'outreach']"
Honor Committee announces outreach plans for faculty members and graduate students,News,honor committee announces outreach plans for faculty members and graduate students,"['honor', 'committee', 'announces', 'outreach', 'plan', 'faculty', 'member', 'graduate', 'student']"
Student Council discusses community concerns regarding on-Grounds housing,News,student council discusses community concerns regarding ongrounds housing,"['student', 'council', 'discusses', 'community', 'concern', 'regarding', 'ongrounds', 'housing']"
Gov. Youngkin appoints five new members to Board of Visitors,News,gov youngkin appoints five new members to board of visitors,"['gov', 'youngkin', 'appoints', 'five', 'new', 'member', 'board', 'visitor']"
Student Council votes to relocate Hereford orchard and basketball hoop,News,student council votes to relocate hereford orchard and basketball hoop,"['student', 'council', 'vote', 'relocate', 'hereford', 'orchard', 'basketball', 'hoop']"
Honor Committee discusses fall Support Officer recruitment,News,honor committee discusses fall support officer recruitment,"['honor', 'committee', 'discusses', 'fall', 'support', 'officer', 'recruitment']"
"Committee on the College at Wise discusses current enrollment, housing plans",News,committee on the college at wise discusses current enrollment housing plans,"['committee', 'college', 'wise', 'discusses', 'current', 'enrollment', 'housing', 'plan']"
U.Va. receives another record-breaking number of Early Decision applications,News,uva receives another recordbreaking number of early decision applications,"['uva', 'receives', 'another', 'recordbreaking', 'number', 'early', 'decision', 'application']"
From the archives: Sept. 16 – Sept. 22,News,from the archives sept   sept ,"['archive', 'sept', 'sept']"
City Council considers ranked choice voting for its upcoming primary election,News,city council considers ranked choice voting for its upcoming primary election,"['city', 'council', 'considers', 'ranked', 'choice', 'voting', 'upcoming', 'primary', 'election']"
Faculty Senate debates removal of University vice presidents as ex-officio members,News,faculty senate debates removal of university vice presidents as exofficio members,"['faculty', 'senate', 'debate', 'removal', 'university', 'vice', 'president', 'exofficio', 'member']"
"Letters from DOJ reveal threats to U.Va. over admissions policies, Ryan’s leadership",News,letters from doj reveal threats to uva over admissions policies ryans leadership,"['letter', 'doj', 'reveal', 'threat', 'uva', 'admission', 'policy', 'ryans', 'leadership']"
Former peace mediators speak on ceasefire negotiations in the Middle East,News,former peace mediators speak on ceasefire negotiations in the middle east,"['former', 'peace', 'mediator', 'speak', 'ceasefire', 'negotiation', 'middle', 'east']"
Four years of construction — how has Grounds changed?,News,four years of construction  how has grounds changed,"['four', 'year', 'construction', 'ground', 'changed']"
University advances sustainability goals outlined in 2030 Plan,News,university advances sustainability goals outlined in  plan,"['university', 'advance', 'sustainability', 'goal', 'outlined', 'plan']"
"Student Council hears from advisor Julie Caruccio, approves new CIOs",News,student council hears from advisor julie caruccio approves new cios,"['student', 'council', 'hears', 'advisor', 'julie', 'caruccio', 'approves', 'new', 'cio']"
Chanel Craft Tanner aims to expand Women's Center programming as director,News,chanel craft tanner aims to expand womens center programming as director,"['chanel', 'craft', 'tanner', 'aim', 'expand', 'womens', 'center', 'programming', 'director']"
"Student Council approves new CIOs, hears from Madison House Co-Chair",News,student council approves new cios hears from madison house cochair,"['student', 'council', 'approves', 'new', 'cio', 'hears', 'madison', 'house', 'cochair']"
"Police forcefully clear encampment near University Chapel, detain protesters",News,police forcefully clear encampment near university chapel detain protesters,"['police', 'forcefully', 'clear', 'encampment', 'near', 'university', 'chapel', 'detain', 'protester']"
"Faculty Senate discusses academic freedom, free speech at the University",News,faculty senate discusses academic freedom free speech at the university,"['faculty', 'senate', 'discusses', 'academic', 'freedom', 'free', 'speech', 'university']"
"Karen Hao talks the “Empire of AI,” with two paths society can take",News,karen hao talks the empire of ai with two paths society can take,"['karen', 'hao', 'talk', 'empire', 'ai', 'two', 'path', 'society', 'take']"
Honor Committee discusses panelist questioning policy in new sanctioning framework,News,honor committee discusses panelist questioning policy in new sanctioning framework,"['honor', 'committee', 'discusses', 'panelist', 'questioning', 'policy', 'new', 'sanctioning', 'framework']"
Hundreds of protesters demand Palestinian liberation and student protections,News,hundreds of protesters demand palestinian liberation and student protections,"['hundred', 'protester', 'demand', 'palestinian', 'liberation', 'student', 'protection']"
United Healthcare takes over as student health insurance provider,News,united healthcare takes over as student health insurance provider,"['united', 'healthcare', 'take', 'student', 'health', 'insurance', 'provider']"
"Research grant gaps, flight cancellations among costs of 43-day government shutdown",News,research grant gaps flight cancellations among costs of day government shutdown,"['research', 'grant', 'gap', 'flight', 'cancellation', 'among', 'cost', 'day', 'government', 'shutdown']"
"Valentina Mendoza Gonzalez wins Student Council presidential election, divestment referendum passes in Spring 2024 University elections",News,valentina mendoza gonzalez wins student council presidential election divestment referendum passes in spring  university elections,"['valentina', 'mendoza', 'gonzalez', 'win', 'student', 'council', 'presidential', 'election', 'divestment', 'referendum', 'pass', 'spring', 'university', 'election']"
Board resolves to reinstate gender-affirming care for existing patients only,News,board resolves to reinstate genderaffirming care for existing patients only,"['board', 'resolve', 'reinstate', 'genderaffirming', 'care', 'existing', 'patient']"
U.Va. Mobile ID replaced by new system accessible in digital wallet,News,uva mobile id replaced by new system accessible in digital wallet,"['uva', 'mobile', 'id', 'replaced', 'new', 'system', 'accessible', 'digital', 'wallet']"
University acceptance rate decreases after regular decision round,News,university acceptance rate decreases after regular decision round,"['university', 'acceptance', 'rate', 'decrease', 'regular', 'decision', 'round']"
Shots fired on 800 block of West Main Street,News,shots fired on  block of west main street,"['shot', 'fired', 'block', 'west', 'main', 'street']"
"Weighing their place in U.Va. presidential search, students hope for leader with integrity",News,weighing their place in uva presidential search students hope for leader with integrity,"['weighing', 'place', 'uva', 'presidential', 'search', 'student', 'hope', 'leader', 'integrity']"
From the archives: March 25 – March 31,News,from the archives march   march ,"['archive', 'march', 'march']"
From the archives: March Madness (Mar. 17 – Mar. 23),News,from the archives march madness mar   mar ,"['archive', 'march', 'madness', 'mar', 'mar']"
Will Ryan’s resignation impact the University’s reaccreditation?,News,will ryans resignation impact the universitys reaccreditation,"['ryans', 'resignation', 'impact', 'university', 'reaccreditation']"
"Faculty Senate updated on School of Medicine complaints, encampment clearing review",News,faculty senate updated on school of medicine complaints encampment clearing review,"['faculty', 'senate', 'updated', 'school', 'medicine', 'complaint', 'encampment', 'clearing', 'review']"
From the archives: Sep. 23 – Sep. 29,News,from the archives sep   sep ,"['archive', 'sep', 'sep']"
Gaston and Ramazani Houses — the University’s newest upperclassmen residences,News,gaston and ramazani houses  the universitys newest upperclassmen residences,"['gaston', 'ramazani', 'house', 'university', 'newest', 'upperclassmen', 'residence']"
From the Archives: Celebration and Reflection (4/28 - 5/4),News,from the archives celebration and reflection   ,"['archive', 'celebration', 'reflection']"
DivestUVA hosts rally to call for reapportionment of University funding from fossil fuels,News,divestuva hosts rally to call for reapportionment of university funding from fossil fuels,"['divestuva', 'host', 'rally', 'call', 'reapportionment', 'university', 'funding', 'fossil', 'fuel']"
U.Va.'s Earth Day Eco-Fair 2025 spotlights sustainability advocacy,News,uvas earth day ecofair  spotlights sustainability advocacy,"['uvas', 'earth', 'day', 'ecofair', 'spotlight', 'sustainability', 'advocacy']"
"Governor stops reporting appointments to General Assembly, letters show",News,governor stops reporting appointments to general assembly letters show,"['governor', 'stop', 'reporting', 'appointment', 'general', 'assembly', 'letter', 'show']"
"Honor Committee brainstorms sanction diversification, considers future steps for AI",News,honor committee brainstorms sanction diversification considers future steps for ai,"['honor', 'committee', 'brainstorm', 'sanction', 'diversification', 'considers', 'future', 'step', 'ai']"
Shots fired reported on 500 block of 12th Street NW,News,shots fired reported on  block of th street nw,"['shot', 'fired', 'reported', 'block', 'th', 'street', 'nw']"
Optimism and frustration — students react to Beardsley’s appointment as president,News,optimism and frustration  students react to beardsleys appointment as president,"['optimism', 'frustration', 'student', 'react', 'beardsleys', 'appointment', 'president']"
"Construction of the Verve along Emmet St. S causes detours, delays for students",News,construction of the verve along emmet st s causes detours delays for students,"['construction', 'verve', 'along', 'emmet', 'st', 'cause', 'detour', 'delay', 'student']"
Madison House faces post-pandemic application issues,News,madison house faces postpandemic application issues,"['madison', 'house', 'face', 'postpandemic', 'application', 'issue']"
Four influential women share memories of their time at The Cavalier Daily,News,four influential women share memories of their time at the cavalier daily,"['four', 'influential', 'woman', 'share', 'memory', 'time', 'cavalier', 'daily']"
The ‘Batten Curve’ — what’s the big deal?,News,the batten curve  whats the big deal,"['batten', 'curve', 'whats', 'big', 'deal']"
University Counsel Cliff Iler to depart for University of Arizona,News,university counsel cliff iler to depart for university of arizona,"['university', 'counsel', 'cliff', 'iler', 'depart', 'university', 'arizona']"
Upperclassmen offer advice for first-years unsure on future majors,News,upperclassmen offer advice for firstyears unsure on future majors,"['upperclassmen', 'offer', 'advice', 'firstyears', 'unsure', 'future', 'major']"
U.Va. Health launches mobile care unit to bring healthcare to low-income communities,News,uva health launches mobile care unit to bring healthcare to lowincome communities,"['uva', 'health', 'launch', 'mobile', 'care', 'unit', 'bring', 'healthcare', 'lowincome', 'community']"
President Ryan commits to another meeting with graduate students,News,president ryan commits to another meeting with graduate students,"['president', 'ryan', 'commits', 'another', 'meeting', 'graduate', 'student']"
Student Council calls on University to publish information on financial aid dependency override process,News,student council calls on university to publish information on financial aid dependency override process,"['student', 'council', 'call', 'university', 'publish', 'information', 'financial', 'aid', 'dependency', 'override', 'process']"
Student Council and Wise SGA call on Va. General Assembly to keep students in mind,News,student council and wise sga call on va general assembly to keep students in mind,"['student', 'council', 'wise', 'sga', 'call', 'va', 'general', 'assembly', 'keep', 'student', 'mind']"
University releases two independent reports on Nov. 13 shooting,News,university releases two independent reports on nov  shooting,"['university', 'release', 'two', 'independent', 'report', 'nov', 'shooting']"
Newly elected Honor Chair Thomas Ackleson makes commitment to meaningfulness,News,newly elected honor chair thomas ackleson makes commitment to meaningfulness,"['newly', 'elected', 'honor', 'chair', 'thomas', 'ackleson', 'make', 'commitment', 'meaningfulness']"
Faculty express concern and fear over Compact from Trump administration,News,faculty express concern and fear over compact from trump administration,"['faculty', 'express', 'concern', 'fear', 'compact', 'trump', 'administration']"
Board of Visitors’ Health System Board approves University Medical Center contracts and credentials,News,board of visitors health system board approves university medical center contracts and credentials,"['board', 'visitor', 'health', 'system', 'board', 'approves', 'university', 'medical', 'center', 'contract', 'credential']"
Nearly 750 gather outside Albemarle County Office Building for anti-Trump protest,News,nearly  gather outside albemarle county office building for antitrump protest,"['nearly', 'gather', 'outside', 'albemarle', 'county', 'office', 'building', 'antitrump', 'protest']"
Proposal aims to slash in half Student Council’s annual budget,News,proposal aims to slash in half student councils annual budget,"['proposal', 'aim', 'slash', 'half', 'student', 'council', 'annual', 'budget']"
