title,section,clean_title,tokens
PATEL: Personal development courses support students beyond the gradebook,Opinion,patel personal development courses support students beyond the gradebook,"['patel', 'personal', 'development', 'course', 'support', 'student', 'beyond', 'gradebook']"
PARTING SHOT: Does this even matter?,Opinion,parting shot does this even matter,"['parting', 'shot', 'even', 'matter']"
"DUTTENHOFER: A case for a U.Va. degree, beyond the data",Opinion,duttenhofer a case for a uva degree beyond the data,"['duttenhofer', 'case', 'uva', 'degree', 'beyond', 'data']"
EDITORIAL: Elect Honor representatives committed to transparency,Opinion,editorial elect honor representatives committed to transparency,"['editorial', 'elect', 'honor', 'representative', 'committed', 'transparency']"
"PARTING SHOT: When it comes to art, it pays to pay attention",Opinion,parting shot when it comes to art it pays to pay attention,"['parting', 'shot', 'come', 'art', 'pay', 'pay', 'attention']"
"GARVIE: Let clubs be about interests, not interviews",Opinion,garvie let clubs be about interests not interviews,"['garvie', 'let', 'club', 'interest', 'interview']"
GARVIE: U.Va. Health is rapidly falling behind on its responsibility to patients,Opinion,garvie uva health is rapidly falling behind on its responsibility to patients,"['garvie', 'uva', 'health', 'rapidly', 'falling', 'behind', 'responsibility', 'patient']"
KURTZWEIL: Virginia’s new education reform stinks of school choice plot,Opinion,kurtzweil virginias new education reform stinks of school choice plot,"['kurtzweil', 'virginia', 'new', 'education', 'reform', 'stink', 'school', 'choice', 'plot']"
RASHID: Late night snacking is our right,Opinion,rashid late night snacking is our right,"['rashid', 'late', 'night', 'snacking', 'right']"
"HUYNH: Promote the presidential debate, protect Student Council",Opinion,huynh promote the presidential debate protect student council,"['huynh', 'promote', 'presidential', 'debate', 'protect', 'student', 'council']"
CARTER: Take care selecting U.Va. Health’s next CEO,Opinion,carter take care selecting uva healths next ceo,"['carter', 'take', 'care', 'selecting', 'uva', 'health', 'next', 'ceo']"
SULLIVAN: The Echols Scholar Program sidesteps gen-eds — and their own mission,Opinion,sullivan the echols scholar program sidesteps geneds  and their own mission,"['sullivan', 'echols', 'scholar', 'program', 'sidestep', 'geneds', 'mission']"
KING: Backroom agreements have no place at U.Va.,Opinion,king backroom agreements have no place at uva,"['king', 'backroom', 'agreement', 'place', 'uva']"
CULLEN: Let's not make the U. like it used to be,Opinion,cullen lets not make the u like it used to be,"['cullen', 'let', 'make', 'u', 'like', 'used']"
EDITORIAL: Government has the power to prevent further political violence,Opinion,editorial government has the power to prevent further political violence,"['editorial', 'government', 'power', 'prevent', 'political', 'violence']"
KING: The absurdity of Wilkinson’s veto,Opinion,king the absurdity of wilkinsons veto,"['king', 'absurdity', 'wilkinson', 'veto']"
WASSERMAN: The Cavalier Daily got it wrong on UVa.’s discrimination cases,Opinion,wasserman the cavalier daily got it wrong on uvas discrimination cases,"['wasserman', 'cavalier', 'daily', 'got', 'wrong', 'uvas', 'discrimination', 'case']"
PATEL: Flipped classroom models subtract from effective education,Opinion,patel flipped classroom models subtract from effective education,"['patel', 'flipped', 'classroom', 'model', 'subtract', 'effective', 'education']"
LETTER: Embrace medicinal herb gardens on Grounds,Opinion,letter embrace medicinal herb gardens on grounds,"['letter', 'embrace', 'medicinal', 'herb', 'garden', 'ground']"
CASTAGNO: Closing the Federal Executive Institute fails local residents,Opinion,castagno closing the federal executive institute fails local residents,"['castagno', 'closing', 'federal', 'executive', 'institute', 'fails', 'local', 'resident']"
"PARTING SHOT: Girl, what did you expect?",Opinion,parting shot girl what did you expect,"['parting', 'shot', 'girl', 'expect']"
EDITORIAL: Draw the line on University expansion,Opinion,editorial draw the line on university expansion,"['editorial', 'draw', 'line', 'university', 'expansion']"
JEFFERSON COUNCIL: The hypocritical politicization of U.Va.’s presidential search,Opinion,jefferson council the hypocritical politicization of uvas presidential search,"['jefferson', 'council', 'hypocritical', 'politicization', 'uvas', 'presidential', 'search']"
EDITORIAL: End the Batten Curve,Opinion,editorial end the batten curve,"['editorial', 'end', 'batten', 'curve']"
PARTING SHOT: The myth of the “two Universities”,Opinion,parting shot the myth of the two universities,"['parting', 'shot', 'myth', 'two', 'university']"
GARVIE: Commend the University’s continuous care for the environment,Opinion,garvie commend the universitys continuous care for the environment,"['garvie', 'commend', 'university', 'continuous', 'care', 'environment']"
RASHID: U.Va.’s deal with the government exposes us to both risk and reward,Opinion,rashid uvas deal with the government exposes us to both risk and reward,"['rashid', 'uvas', 'deal', 'government', 'expose', 'u', 'risk', 'reward']"
CARTER: U.Va. Health owes clarity to transplant patients,Opinion,carter uva health owes clarity to transplant patients,"['carter', 'uva', 'health', 'owes', 'clarity', 'transplant', 'patient']"
KAVITHA: Invest in our future physicians’ medical education,Opinion,kavitha invest in our future physicians medical education,"['kavitha', 'invest', 'future', 'physician', 'medical', 'education']"
LETTER: Medical students stand in support of transgender youth,Opinion,letter medical students stand in support of transgender youth,"['letter', 'medical', 'student', 'stand', 'support', 'transgender', 'youth']"
"UPADHYAYA: Title IX changes should be here to stay, not pushed away",Opinion,upadhyaya title ix changes should be here to stay not pushed away,"['upadhyaya', 'title', 'ix', 'change', 'stay', 'pushed', 'away']"
LETTER: Misunderstanding the Honor Committee’s mental health procedures,Opinion,letter misunderstanding the honor committees mental health procedures,"['letter', 'misunderstanding', 'honor', 'committee', 'mental', 'health', 'procedure']"
EDITORIAL: Federal overreach will not end with President Ryan,Opinion,editorial federal overreach will not end with president ryan,"['editorial', 'federal', 'overreach', 'end', 'president', 'ryan']"
SULLIVAN: Gov. Youngkin purges integrity from voter registration process,Opinion,sullivan gov youngkin purges integrity from voter registration process,"['sullivan', 'gov', 'youngkin', 'purge', 'integrity', 'voter', 'registration', 'process']"
KURTZWEIL: City Council should truly adhere to a Housing First policy,Opinion,kurtzweil city council should truly adhere to a housing first policy,"['kurtzweil', 'city', 'council', 'truly', 'adhere', 'housing', 'first', 'policy']"
EDITORIAL: Vote for The Voice Movement,Opinion,editorial vote for the voice movement,"['editorial', 'vote', 'voice', 'movement']"
CARON: U.Va. must provide more structural support for transfers,Opinion,caron uva must provide more structural support for transfers,"['caron', 'uva', 'must', 'provide', 'structural', 'support', 'transfer']"
"WILLIAMS: From deepfakes to ChatGPT, AI can ruin us",Opinion,williams from deepfakes to chatgpt ai can ruin us,"['williams', 'deepfakes', 'chatgpt', 'ai', 'ruin', 'u']"
VEGA: In defense of President Jim Ryan,Opinion,vega in defense of president jim ryan,"['vega', 'defense', 'president', 'jim', 'ryan']"
BURSTEIN: Federal workforce cuts target Virginia — and Youngkin’s response falls short,Opinion,burstein federal workforce cuts target virginia  and youngkins response falls short,"['burstein', 'federal', 'workforce', 'cut', 'target', 'virginia', 'youngkins', 'response', 'fall', 'short']"
"CARTER: Virginia, stop ignoring inmate health",Opinion,carter virginia stop ignoring inmate health,"['carter', 'virginia', 'stop', 'ignoring', 'inmate', 'health']"
EDITORIAL: Signing off from the 135th term,Opinion,editorial signing off from the th term,"['editorial', 'signing', 'th', 'term']"
EDITORIAL: Vote for transformation in Student Council,Opinion,editorial vote for transformation in student council,"['editorial', 'vote', 'transformation', 'student', 'council']"
WILLIAMS: Big donors are dominating the Board of Visitors,Opinion,williams big donors are dominating the board of visitors,"['williams', 'big', 'donor', 'dominating', 'board', 'visitor']"
HAWKINS: Virginia Democrats’ redistricting plan is indefensible and likely unlawful,Opinion,hawkins virginia democrats redistricting plan is indefensible and likely unlawful,"['hawkins', 'virginia', 'democrat', 'redistricting', 'plan', 'indefensible', 'likely', 'unlawful']"
EDITORIAL: Affirm the actions of U.Va.’s admissions programs,Opinion,editorial affirm the actions of uvas admissions programs,"['editorial', 'affirm', 'action', 'uvas', 'admission', 'program']"
LETTER: A letter to the U.Va. community from the A.N.G.E.L.S. Society,Opinion,letter a letter to the uva community from the angels society,"['letter', 'letter', 'uva', 'community', 'angel', 'society']"
PARTING SHOT: On fighting imposter syndrome and being cool,Opinion,parting shot on fighting imposter syndrome and being cool,"['parting', 'shot', 'fighting', 'imposter', 'syndrome', 'cool']"
LETTER FROM THE EDITOR: Reintroducing The Cavalier Daily’s podcast desk,Opinion,letter from the editor reintroducing the cavalier dailys podcast desk,"['letter', 'editor', 'reintroducing', 'cavalier', 'daily', 'podcast', 'desk']"
BRUNMAN: The University’s top national ranking in free speech should not fire you up,Opinion,brunman the universitys top national ranking in free speech should not fire you up,"['brunman', 'university', 'top', 'national', 'ranking', 'free', 'speech', 'fire']"
YOUNIS: U.Va. is missing a human voice,Opinion,younis uva is missing a human voice,"['younis', 'uva', 'missing', 'human', 'voice']"
JENKINS: Divestment is not a solution for Israel and Palestine,Opinion,jenkins divestment is not a solution for israel and palestine,"['jenkins', 'divestment', 'solution', 'israel', 'palestine']"
EDITORIAL: Celebrate the Contemplative Commons and other non-academic student spaces,Opinion,editorial celebrate the contemplative commons and other nonacademic student spaces,"['editorial', 'celebrate', 'contemplative', 'common', 'nonacademic', 'student', 'space']"
UPADHYAYA: Open the door for DACA recipients to join law enforcement,Opinion,upadhyaya open the door for daca recipients to join law enforcement,"['upadhyaya', 'open', 'door', 'daca', 'recipient', 'join', 'law', 'enforcement']"
EDITORIAL: Some ‘limited’ feedback on the Compact,Opinion,editorial some limited feedback on the compact,"['editorial', 'limited', 'feedback', 'compact']"
"COHEN: Facing federal cuts, U.Va. must defend affordability",Opinion,cohen facing federal cuts uva must defend affordability,"['cohen', 'facing', 'federal', 'cut', 'uva', 'must', 'defend', 'affordability']"
NAISH: We need to say the “F” word more,Opinion,naish we need to say the f word more,"['naish', 'need', 'say', 'f', 'word']"
RASHID: U.Va.’s new privacy policy should be welcomed — and expanded,Opinion,rashid uvas new privacy policy should be welcomed  and expanded,"['rashid', 'uvas', 'new', 'privacy', 'policy', 'welcomed', 'expanded']"
P.U.M.P.K.I.N. SOCIETY: Happy Halloween 2025,Opinion,pumpkin society happy halloween ,"['pumpkin', 'society', 'happy', 'halloween']"
"KURTZWEIL: Volunteering at U.Va. should be easy, but isn’t",Opinion,kurtzweil volunteering at uva should be easy but isnt,"['kurtzweil', 'volunteering', 'uva', 'easy', 'isnt']"
A statement by 401 concerned faculty regarding the crisis of President Ryan’s forced resignation,Opinion,a statement by  concerned faculty regarding the crisis of president ryans forced resignation,"['statement', 'concerned', 'faculty', 'regarding', 'crisis', 'president', 'ryans', 'forced', 'resignation']"
EDITORIAL: Upholding medical amnesty is a collective effort,Opinion,editorial upholding medical amnesty is a collective effort,"['editorial', 'upholding', 'medical', 'amnesty', 'collective', 'effort']"
PARTING SHOT: Prides and joys,Opinion,parting shot prides and joys,"['parting', 'shot', 'pride', 'joy']"
CASTAGNO: Albemarle County’s cautious approach to data centers should be a model,Opinion,castagno albemarle countys cautious approach to data centers should be a model,"['castagno', 'albemarle', 'county', 'cautious', 'approach', 'data', 'center', 'model']"
HUYNH: Virginia’s proposed ‘whippets’ law is laughable,Opinion,huynh virginias proposed whippets law is laughable,"['huynh', 'virginia', 'proposed', 'whippet', 'law', 'laughable']"
WILLIAMS: Let us not hide history this Black History Month,Opinion,williams let us not hide history this black history month,"['williams', 'let', 'u', 'hide', 'history', 'black', 'history', 'month']"
COHEN: Historic preservation should not come before affordable housing,Opinion,cohen historic preservation should not come before affordable housing,"['cohen', 'historic', 'preservation', 'come', 'affordable', 'housing']"
GERBER: Gaslighting for DEI — community DEI proponents must stop ignoring the law,Opinion,gerber gaslighting for dei  community dei proponents must stop ignoring the law,"['gerber', 'gaslighting', 'dei', 'community', 'dei', 'proponent', 'must', 'stop', 'ignoring', 'law']"
FREED: High school wrestling programs must grapple with athlete safety,Opinion,freed high school wrestling programs must grapple with athlete safety,"['freed', 'high', 'school', 'wrestling', 'program', 'must', 'grapple', 'athlete', 'safety']"
SULLIVAN: Financial accessibility matters — even post-grad,Opinion,sullivan financial accessibility matters  even postgrad,"['sullivan', 'financial', 'accessibility', 'matter', 'even', 'postgrad']"
A statement by 40 Jewish faculty and staff on antisemitism and DEI at U.Va.,Opinion,a statement by  jewish faculty and staff on antisemitism and dei at uva,"['statement', 'jewish', 'faculty', 'staff', 'antisemitism', 'dei', 'uva']"
CLIPPINGER: Jay Jones’ inauguration reflects a shift in Virginia’s civic culture,Opinion,clippinger jay jones inauguration reflects a shift in virginias civic culture,"['clippinger', 'jay', 'jones', 'inauguration', 'reflects', 'shift', 'virginia', 'civic', 'culture']"
SCHENBERG: Our foreign students and colleagues deserve better,Opinion,schenberg our foreign students and colleagues deserve better,"['schenberg', 'foreign', 'student', 'colleague', 'deserve', 'better']"
BURSTEIN: The attention deficit epidemic needs to be addressed at U.Va.,Opinion,burstein the attention deficit epidemic needs to be addressed at uva,"['burstein', 'attention', 'deficit', 'epidemic', 'need', 'addressed', 'uva']"
5 U.Va. COMMUNITY MEMBERS: Gerber has it wrong — our U.Va. is better,Opinion, uva community members gerber has it wrong  our uva is better,"['uva', 'community', 'member', 'gerber', 'wrong', 'uva', 'better']"
RASHID: Denying compensation to Resident Advisors will leave us behind,Opinion,rashid denying compensation to resident advisors will leave us behind,"['rashid', 'denying', 'compensation', 'resident', 'advisor', 'leave', 'u', 'behind']"
"BRUNMAN: Stop ghosting us, Governor Youngkin",Opinion,brunman stop ghosting us governor youngkin,"['brunman', 'stop', 'ghosting', 'u', 'governor', 'youngkin']"
ELJAZZAR: Celebrate U.Va.’s expansion into Northern Virginia,Opinion,eljazzar celebrate uvas expansion into northern virginia,"['eljazzar', 'celebrate', 'uvas', 'expansion', 'northern', 'virginia']"
KURTZWEIL: Threats to learning cannot be met with cowardice,Opinion,kurtzweil threats to learning cannot be met with cowardice,"['kurtzweil', 'threat', 'learning', 'cannot', 'met', 'cowardice']"
"SULLIVAN: Ring out the old, vote in the new",Opinion,sullivan ring out the old vote in the new,"['sullivan', 'ring', 'old', 'vote', 'new']"
DUTTENHOFER: Spanberger cannot fail Virginia’s education system,Opinion,duttenhofer spanberger cannot fail virginias education system,"['duttenhofer', 'spanberger', 'cannot', 'fail', 'virginia', 'education', 'system']"
YOUNIS: Muslim students deserve a better Ramadan on Grounds,Opinion,younis muslim students deserve a better ramadan on grounds,"['younis', 'muslim', 'student', 'deserve', 'better', 'ramadan', 'ground']"
A statement of no confidence in the Board of Visitors by 141 retired U.Va. faculty,Opinion,a statement of no confidence in the board of visitors by  retired uva faculty,"['statement', 'confidence', 'board', 'visitor', 'retired', 'uva', 'faculty']"
PARTING SHOT: Escaping the Doldrums,Opinion,parting shot escaping the doldrums,"['parting', 'shot', 'escaping', 'doldrums']"
SULLIVAN: QR codes have crashed the party,Opinion,sullivan qr codes have crashed the party,"['sullivan', 'qr', 'code', 'crashed', 'party']"
EDITORIAL: University admin — guide us through your decision to suspend the Guide Service,Opinion,editorial university admin  guide us through your decision to suspend the guide service,"['editorial', 'university', 'admin', 'guide', 'u', 'decision', 'suspend', 'guide', 'service']"
"EDITORIAL: Spanberger, do not follow in the pattern of our last governor",Opinion,editorial spanberger do not follow in the pattern of our last governor,"['editorial', 'spanberger', 'follow', 'pattern', 'last', 'governor']"
ELJAZZAR: Improve transfer student orientation programs,Opinion,eljazzar improve transfer student orientation programs,"['eljazzar', 'improve', 'transfer', 'student', 'orientation', 'program']"
NERO: Littlejohn’s vacancy allows for student entrepreneurship opportunities,Opinion,nero littlejohns vacancy allows for student entrepreneurship opportunities,"['nero', 'littlejohns', 'vacancy', 'allows', 'student', 'entrepreneurship', 'opportunity']"
CARTER: Did anyone actually want VERVE?,Opinion,carter did anyone actually want verve,"['carter', 'anyone', 'actually', 'want', 'verve']"
EDITORIAL: Long live President Ryan!,Opinion,editorial long live president ryan,"['editorial', 'long', 'live', 'president', 'ryan']"
UPADHYAYA: Virginia needs comprehensive climate education — now,Opinion,upadhyaya virginia needs comprehensive climate education  now,"['upadhyaya', 'virginia', 'need', 'comprehensive', 'climate', 'education']"
ELJAZZAR: Expand institutional knowledge for student empowerment,Opinion,eljazzar expand institutional knowledge for student empowerment,"['eljazzar', 'expand', 'institutional', 'knowledge', 'student', 'empowerment']"
KING: Virginia’s felons deserve the opportunity to work without discrimination,Opinion,king virginias felons deserve the opportunity to work without discrimination,"['king', 'virginia', 'felon', 'deserve', 'opportunity', 'work', 'without', 'discrimination']"
Letters to the Editor: The resignation of University President Jim Ryan,Opinion,letters to the editor the resignation of university president jim ryan,"['letter', 'editor', 'resignation', 'university', 'president', 'jim', 'ryan']"
COHEN: The presidential appointment process was blatantly non-Jeffersonian,Opinion,cohen the presidential appointment process was blatantly nonjeffersonian,"['cohen', 'presidential', 'appointment', 'process', 'blatantly', 'nonjeffersonian']"
A statement from 181 concerned faculty on the Faculty Senate’s Nov. 14 resolution,Opinion,a statement from  concerned faculty on the faculty senates nov  resolution,"['statement', 'concerned', 'faculty', 'faculty', 'senate', 'nov', 'resolution']"
FREED: Do not be fooled — the Trump administration is not fighting antisemitism,Opinion,freed do not be fooled  the trump administration is not fighting antisemitism,"['freed', 'fooled', 'trump', 'administration', 'fighting', 'antisemitism']"
CASTAGNO: Bring back standardized tests,Opinion,castagno bring back standardized tests,"['castagno', 'bring', 'back', 'standardized', 'test']"
BARRETT: President Ryan’s forced resignation jeopardizes the future of U.Va.,Opinion,barrett president ryans forced resignation jeopardizes the future of uva,"['barrett', 'president', 'ryans', 'forced', 'resignation', 'jeopardizes', 'future', 'uva']"
"EDITORIAL: Back to Grounds, and back to repairing institutional credibility",Opinion,editorial back to grounds and back to repairing institutional credibility,"['editorial', 'back', 'ground', 'back', 'repairing', 'institutional', 'credibility']"
EDITORIAL: 2030 should not take precedence over 2024,Opinion,editorial  should not take precedence over ,"['editorial', 'take', 'precedence']"
EDITORIAL: Good journalism is more than just news,Opinion,editorial good journalism is more than just news,"['editorial', 'good', 'journalism', 'news']"
KURTZWEIL: U.Va. is constructing an infrastructure conundrum,Opinion,kurtzweil uva is constructing an infrastructure conundrum,"['kurtzweil', 'uva', 'constructing', 'infrastructure', 'conundrum']"
EDITORIAL: Student self-governance should be for us all,Opinion,editorial student selfgovernance should be for us all,"['editorial', 'student', 'selfgovernance', 'u']"
"UPADHYAYA: The new University policies will hurt, not help, students",Opinion,upadhyaya the new university policies will hurt not help students,"['upadhyaya', 'new', 'university', 'policy', 'hurt', 'help', 'student']"
"EDITORIAL: Take the hint, Mr. Youngkin",Opinion,editorial take the hint mr youngkin,"['editorial', 'take', 'hint', 'mr', 'youngkin']"
U.Va. Medical Students: Defend academic freedom,Opinion,uva medical students defend academic freedom,"['uva', 'medical', 'student', 'defend', 'academic', 'freedom']"
KURTZWEIL: True financial aid must be transparent,Opinion,kurtzweil true financial aid must be transparent,"['kurtzweil', 'true', 'financial', 'aid', 'must', 'transparent']"
EDITORIAL: U.Va. needs to promote better artificial intelligence policies,Opinion,editorial uva needs to promote better artificial intelligence policies,"['editorial', 'uva', 'need', 'promote', 'better', 'artificial', 'intelligence', 'policy']"
EDITORIAL: Think wisely about our regional campus,Opinion,editorial think wisely about our regional campus,"['editorial', 'think', 'wisely', 'regional', 'campus']"
PARTING SHOT: A love letter to Cav Daily and Connection,Opinion,parting shot a love letter to cav daily and connection,"['parting', 'shot', 'love', 'letter', 'cav', 'daily', 'connection']"
"LETTER: October 7 — one year on, we must look beyond the facade of conciliation",Opinion,letter october   one year on we must look beyond the facade of conciliation,"['letter', 'october', 'one', 'year', 'must', 'look', 'beyond', 'facade', 'conciliation']"
EDITORIAL: Carla Williams deserves her seat at the table,Opinion,editorial carla williams deserves her seat at the table,"['editorial', 'carla', 'williams', 'deserves', 'seat', 'table']"
EDITORIAL: A university president guarded from his constituents cannot lead them,Opinion,editorial a university president guarded from his constituents cannot lead them,"['editorial', 'university', 'president', 'guarded', 'constituent', 'cannot', 'lead']"
